age,income,employment_years,debt_to_income_ratio,credit_score,loan_amount,loan_term,loan_purpose,has_mortgage,has_credit_card,previous_defaults,credit_inquiries,default_prob,default,payment_to_income
44,14418.109764835974,3,0.3077371901711984,577,16482.787880269752,36,other,0,1,0,1,0.11125973704797752,0,0.38106677757138635
38,13996.82632203945,4,0.09183637910684933,726,20664.922277228616,36,education,1,1,3,2,0.26442934185912603,0,0.4921335213609474
46,10000.0,3,0.13973704624642486,734,10019.071013486891,120,other,1,1,0,1,0.0990604962599018,1,0.10019071013486891
55,15833.920870846508,4,0.33219525493020274,775,18208.466247431803,24,medical,0,1,0,5,0.15216087854054203,0,0.5749828610346701
37,45836.18308197314,7,0.13951304488875857,607,20738.76435632923,60,other,1,1,4,0,0.16201097659109004,0,0.09049079989596934
37,10000.0,3,0.16854437990405177,765,15148.634702925176,24,medical,0,0,0,0,0.0015367284122040498,0,0.7574317351462587
55,62848.51908492118,6,0.08812502865674564,818,42070.34191546171,72,car,1,0,0,3,0.11215276606763129,0,0.11156545539446493
47,35874.24189831429,6,0.3937222299797773,517,27407.474008844772,48,medical,1,0,0,1,0.2231752484126913,0,0.1909968863351272
35,10569.911203543637,6,0.2324128503566559,601,20853.084652721795,84,other,1,0,0,1,0.2817027471837418,0,0.28183889494239417
45,19119.620969962216,4,0.2548148150679879,639,16335.532061134838,12,other,0,1,3,3,0.33312219739909354,1,0.8543857687764153
35,108914.86572515915,3,0.2769805492269536,732,10200.188011846856,96,medical,0,1,0,6,0.16429377369439754,0,0.011706606742722437
35,45869.13884078864,9,0.2647695078061126,784,15658.826149444883,24,education,0,1,0,1,0.10590090754906895,0,0.17069021290977934
42,22220.790861748555,8,0.16171631033856165,476,22769.344000346846,48,medical,0,1,0,1,0.16160096048022327,0,0.2561716203308338
20,17366.818520867655,4,0.23185393086498485,583,21251.56625986878,84,medical,1,1,0,0,0.2906448071927571,0,0.17481256186768943
22,23780.21164786163,5,0.23614784394612695,764,15138.634193999536,96,medical,0,1,0,1,0.18552683935755185,0,0.07957579613973305
34,13203.489663175777,4,0.3794644196608515,564,50805.277968516675,120,other,1,0,0,0,0.24673420544741861,0,0.38478674399398677
29,10000.0,1,0.17993100009808588,729,38104.028478224456,60,business,0,1,0,1,0.0875990192741561,0,0.7620805695644891
43,169766.27388310194,4,0.2727175843821826,707,17695.20170187454,120,business,1,1,0,7,0.1929647289116171,0,0.01042327271320047
30,25727.738276065604,5,0.12670992474003714,727,29506.653430508602,120,car,0,1,0,3,0.17118694239948257,0,0.11468809700213137
25,32798.80186249357,3,0.10219861607825886,729,42118.451442096004,36,other,1,0,0,2,0.017417826531206354,0,0.42804867912222666
54,20787.190821952172,4,0.39814185753007997,607,26208.78751154291,84,home,1,1,0,3,0.2076945182898588,1,0.18011632902773195
37,10560.577035445125,4,0.21510155303810163,623,20272.303252775208,96,education,0,0,0,3,0.07579202770051752,0,0.23995259900020152
40,18289.37408422717,4,0.05852764000319176,615,8896.081163965206,12,car,0,1,0,0,0.08501941255834153,0,0.4864070865955562
25,10000.0,4,0.05721032940663649,672,21298.59255545018,60,education,1,0,1,4,0.19305829213041267,0,0.4259718511090036
34,214719.21955602552,3,0.25815690517424256,436,15084.032338180547,12,home,0,0,0,3,0.34817647484657194,0,0.07025003336622483
41,10000.0,4,0.20123493591178188,698,16365.49531566954,36,home,0,0,0,2,0.08554896145300886,0,0.545516510522318
28,10000.0,5,0.1965112352190568,822,18767.46189293206,24,other,1,1,0,1,0.0,0,0.9383730946466029
43,14182.169642548253,5,0.20534506892213236,669,19726.099107901522,24,car,1,0,0,0,0.12318746719061545,0,0.6954542078216579
33,79863.62127272165,1,0.1478464453227078,637,18244.509946493527,48,business,0,0,0,0,0.1295711521159267,0,0.057111453424430275
37,22348.377431488574,6,0.06038104510146769,657,11303.88221492072,60,business,1,1,0,0,0.02176322229256933,0,0.10116065248650846
33,10000.0,2,0.2888931731936492,703,9187.264024656144,12,business,0,0,0,4,0.09928854941045542,0,0.9187264024656143
58,77214.1771318695,5,0.19883565697587233,764,33248.69535889496,72,medical,0,0,0,0,0.06338640469300344,0,0.07176725094173551
39,45752.4502563555,5,0.14374762260999968,643,51505.71199680893,60,medical,1,0,1,2,0.2385099009770222,0,0.2251495240504818
29,37738.45791071862,2,0.020467100794511826,633,23205.951219348866,48,car,0,1,0,0,0.0,0,0.15372879884393623
