,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,default_ind
id,1.0,0.97,0.1,0.12,0.14,0.16,0.12,0.03,0.13,0.06,-0.03,-0.04,0.09,0.11,0.12,0.04,0.08,0.09,0.3,0.3,-0.02,0.0,-0.03,0.04,-0.06,-0.01,-0.01,0.06,0.03,-0.04,,,,,0.02,0.01,0.02,,,,,,,,,,,,0.0,,,,-0.06
member_id,0.97,1.0,0.11,0.12,0.14,0.15,0.12,0.03,0.12,0.05,-0.03,-0.03,0.13,0.1,0.11,0.04,0.08,0.08,0.3,0.3,-0.01,0.01,-0.03,0.05,-0.06,-0.01,-0.01,0.06,0.03,-0.04,,,,,0.02,0.0,0.03,,,,,,,,,,,,0.01,,,,-0.06
loan_amnt,0.1,0.11,1.0,1.0,0.99,0.21,0.95,0.39,0.07,0.02,0.01,-0.03,0.04,0.21,-0.08,0.37,0.11,0.24,0.4,0.4,0.86,0.86,0.75,0.74,0.06,0.15,0.09,0.38,-0.02,-0.07,,,,,0.01,-0.03,0.32,,,,,,,,,,,,0.37,,,,0.03
funded_amnt,0.12,0.12,1.0,1.0,0.99,0.21,0.96,0.39,0.08,0.02,0.01,-0.03,0.05,0.21,-0.08,0.36,0.11,0.24,0.4,0.4,0.87,0.86,0.75,0.74,0.05,0.15,0.09,0.38,-0.02,-0.07,,,,,0.01,-0.03,0.32,,,,,,,,,,,,0.37,,,,0.03
funded_amnt_inv,0.14,0.14,0.99,0.99,1.0,0.21,0.95,0.39,0.08,0.02,0.01,-0.02,0.15,0.21,-0.08,0.36,0.12,0.24,0.41,0.41,0.86,0.87,0.74,0.74,0.05,0.15,0.08,0.38,-0.02,-0.07,,,,,0.01,-0.03,0.32,,,,,,,,,,,,0.37,,,,0.02
int_rate,0.16,0.15,0.21,0.21,0.21,1.0,0.2,0.01,0.17,0.11,0.21,-0.09,-0.01,0.03,0.07,0.02,0.39,-0.0,0.21,0.21,0.16,0.16,-0.01,0.49,0.05,0.15,0.08,0.11,0.05,-0.07,,,,,0.02,0.03,-0.13,,,,,,,,,,,,-0.23,,,,0.18
installment,0.12,0.12,0.95,0.96,0.95,0.2,1.0,0.39,0.08,0.03,0.03,-0.04,0.03,0.21,-0.07,0.35,0.15,0.22,0.29,0.29,0.86,0.86,0.78,0.66,0.06,0.14,0.08,0.37,-0.02,-0.06,,,,,0.01,-0.03,0.28,,,,,,,,,,,,0.34,,,,0.02
annual_inc,0.03,0.03,0.39,0.39,0.39,0.01,0.39,1.0,-0.19,0.08,0.1,-0.08,-0.07,0.18,-0.03,0.32,0.05,0.26,0.13,0.13,0.36,0.36,0.33,0.26,0.02,0.05,0.04,0.17,-0.01,-0.1,,,,,0.01,0.0,0.46,,,,,,,,,,,,0.3,,,,-0.04
dti,0.13,0.12,0.07,0.08,0.08,0.17,0.08,-0.19,1.0,-0.01,-0.01,0.06,0.12,0.31,-0.05,0.19,0.24,0.24,0.08,0.08,0.04,0.05,0.0,0.11,-0.01,0.04,0.03,-0.0,0.01,0.11,,,,,0.01,-0.04,-0.02,,,,,,,,,,,,0.08,,,,0.06
delinq_2yrs,0.06,0.05,0.02,0.02,0.02,0.11,0.03,0.08,-0.01,1.0,0.01,-0.59,-0.01,0.04,-0.02,-0.03,-0.02,0.12,0.05,0.05,0.0,0.01,-0.02,0.04,0.01,0.04,0.03,-0.0,0.01,-0.47,,,,,0.15,0.02,0.09,,,,,,,,,,,,-0.03,,,,0.02
